month_key,month_start,month_label
2023-01,2023-01-01,Jan 2023
2023-02,2023-02-01,Feb 2023
2023-03,2023-03-01,Mar 2023
2023-04,2023-04-01,Apr 2023
2023-05,2023-05-01,May 2023
2023-06,2023-06-01,Jun 2023
2023-07,2023-07-01,Jul 2023
2023-08,2023-08-01,Aug 2023
2023-09,2023-09-01,Sep 2023
2023-10,2023-10-01,Oct 2023
2023-11,2023-11-01,Nov 2023
2023-12,2023-12-01,Dec 2023
2024-01,2024-01-01,Jan 2024
2024-02,2024-02-01,Feb 2024
2024-03,2024-03-01,Mar 2024
2024-04,2024-04-01,Apr 2024
2024-05,2024-05-01,May 2024
2024-06,2024-06-01,Jun 2024
2024-07,2024-07-01,Jul 2024
2024-08,2024-08-01,Aug 2024
2024-09,2024-09-01,Sep 2024
2024-10,2024-10-01,Oct 2024
2024-11,2024-11-01,Nov 2024
2024-12,2024-12-01,Dec 2024
